Список удостоверяющих центров, аккредитованных в Сети доверенных удостоверяющих центров Федеральной налоговой службы;;
ООО «Коммерсантъ КАРТОТЕКА»;117997, Москва, Нахимовский пр-кт, д.32, (ИДН РАН, 13 этаж);www.kartoteka.ru
"ЗАО ""Сигнал-КОМ""";"115088, Москва, ул. Угрешская, д. 2., стр.15";www.signal-com.ru
"ГВЦ ОАО ""РЖД"" (Главный вычислительный центр - филиал открытого акционерного общества ""Российские железные дороги"")";3107174, Москва, ул. Каланчевская, д.2/1 ;http://ocsp.rzd.ru
"ООО ""Экспертиза"" (Общество с ограниченной ответственностью ""Экспертиза"")";454084,  г.Челябинск, ул.Каслинская, д.5;www.e-xp.ru
"ООО ""Солар""  (Общество с ограниченной ответственностью ""Солар"")";620137 Свердловская область, г. Екатеринбург, Вилонова ул, 6-249;.
"ООО ""НПЦ ""1С""  (Общество с ограниченной ответственностью ""Научно-производственный центр ""1С"")";"127434 г.Москва, Дмитровское ш., д.9 2 Центра сертификации"; http://ca.1c.ru
"ООО ""Сберключ""  ( Общество с ограниченной ответственностью ""Сберключ"")";115184, Москва, ул. Большая Татарская, д.9;http://sberkey.ru
"ГБУ ПО ""ЦИС ПО""  (Государственное бюджетное учреждение Псковской области ""Центр информационных систем Псковской области"")"; 180000, Псковская обл,  г. Псков, ул. Некрасова, 23; ca.pskov.ru
"МскФ ФГУП ""ЦентрИнформ""  (Московский филиал федерального государственного унитарного предприятия ""ЦентрИнформ"")";117105, Москва, Варшавское ш., д.37А, стр.8; www.r77.center-inform.ru
" ООО ""НРЦ""  (Общество с ограниченной ответственностью ""Национальный регистрационный центр"")";410017,  Саратовская обл., г.Саратов, ул. Чернышевского 90, 413840, Саратовская область, г.Балаково, ул.Братьев Захаровых, 154а  - АРМ для генерации ключей;www.эцп-саратов.рф
"ОАО ""СКБ-банк""  (Открытое акционерное общество ""Акционерный коммерческий банк содействия коммерции и бизнесу"")";620026, Свердловская обл, Екатеринбург, Куйбышева ул, д. 75, 620026, Свердловская обл, Екатеринбург, Куйбышева ул, д. 58 - адрес расположения АРМ УЦ ;www.skbbank.ru
"ООО ""Криптэкс""  (Общество с ограниченной ответственностью ""Криптэкс"")";443013, Самарская обл, г. Самара, Московское ш., 3, оф. 404;www.cryptex.pro
" ООО ""Аксиком""  (Общество с ограниченной ответственностью ""Аксиком"")";115114, Москва, ул. Летниковская, д.10, стр.4;www.aksicom.ru
"КрдФ ФГУП ""ЦентрИнформ""  (Краснодарский филиал федерального государственного унитарного предприятия ""ЦентрИнформ"")";350000,  г. Краснодар, ул. Вишняковой, д.2 ;www.r23.center-inform.ru
"ООО ""БСС-Безопасность""  (Общество с ограниченной ответственностью ""БСС-Безопасность"")";117105, Москва г, Нагорный проезд, 5;www.bss-s.ru
"ОГБУ ""Белгородский информационный фонд""   (Областное государственное бюджетное учреждение ""Белгородский информационный фонд"")";"308007, Белгород, ул. Некрасова, д. 9/15 - адрес предоставления услуг (адрес расположения АРМов для генерации ключей и выпуска сертификатов)308005, Белгород, пл. Соборная, д.4 - адрес расположения серверного оборудования, обеспечивающего функции УЦ";http://bif.belregion.ru
" ОАО ""МегаФон""   (Открытое акционерное общество ""МегаФон"")";115035, Москва, Кадашевская наб., д. 30 - адрес расположения серверного оборудования, обеспечивающего функции УЦ. 127015, Москва, Вятская ул., д. 27 - адрес предоставления услуг (адрес расположения АРМов для генерации ключей и выпуска сертификатов);http://moscow.megafon.ru
"ОАО ""НИИАС""   (Открытое акционерное общество  ""Научно-исследовательский  и проектно-конструкторский институт информатизации, автоматизации и связи на железнодорожном транспорте"")";109029, Москва, ул. Нижегородская, д.27, стр. 1;vniias.ru, pkitrans.ru
"ГУ ""ЗИЦ"" (Государственное учреждение ""Забайкальский информационный центр"")";672007, Забайкальский край, г. Чита, ул. Костюшко-Гигоровича, д.4; http://zic.e-zab.ru
"ООО ""БТП""  (Общество с ограниченной ответственностью ""БТП"")";656049, Алтайский край, Барнаул г, Интернациональная ул, 110 ; www.podpis.su
"ООО ""Альфа-сервис""   (Общество с ограниченной ответственностью ""Альфа-сервис"")";125375, Москва, ул.Тверская, д.7  ;http://www.4etp.ru   http://www.4trust.ru
"Государственное бюджетное учреждение Республики Коми ""Центр безопасности информации""";167010, Республика Коми, г. Сыктывкар, Коммунистическая ул., д.8;http://www.cbikomi.ru
"ГУП Центр Информационных технологий РТ  (Государственное унитарное предприятие Республики Татарстан ""Центр информационных технологий Республики Татарстан"")";420107, РТ, г.Казань, ул.Петербургская, д.52 ; http://cit.tatarstan.ru
"ОАО ""ЕЭТП""   (Открытое акционерное общество ""Единая электронная торговая площадка"")";117312,  Москва, пр-т 60-летия Октября, д. 9. кабинет №7;http://etp.roseltorg.ru
"ООО ""ЕвроСофт""   (Общество с ограниченной ответственностью ""ЕвроСофт"")";" 600001, Владимирская обл, г. Владимир, Офицерская ул, 11а";http://euro-soft.su/
